Architecture,Activation,Optimizer,Sequence_Length,Gradient_Clip,Accuracy,F1_Score,Avg_Epoch_Time(s),Total_Train_Time(s)
Bidirectional LSTM,tanh,adam,50,No,0.7716,0.7764,2.06,33.12
Bidirectional LSTM,tanh,adam,100,No,0.814,0.8176,2.28,34.34
Bidirectional LSTM,tanh,adam,25,Yes,0.7163,0.7243,2.37,35.03
Bidirectional LSTM,tanh,adam,50,Yes,0.772,0.7741,2.26,34.03
Bidirectional LSTM,tanh,adam,100,Yes,0.8042,0.7869,2.48,35.6
Bidirectional LSTM,tanh,sgd,25,No,0.5089,0.5306,1.89,31.77
Bidirectional LSTM,tanh,sgd,50,No,0.5176,0.6108,2.32,34.19
Bidirectional LSTM,tanh,sgd,100,No,0.5093,0.5209,2.74,37.42
Bidirectional LSTM,tanh,sgd,25,Yes,0.513,0.4638,2.66,36.64
Bidirectional LSTM,tanh,sgd,50,Yes,0.5212,0.5817,2.07,32.86
Bidirectional LSTM,tanh,sgd,100,Yes,0.5135,0.5297,2.27,34.0
Bidirectional LSTM,tanh,rmsprop,25,No,0.7219,0.722,1.94,32.09
Bidirectional LSTM,tanh,rmsprop,50,No,0.7676,0.7791,2.08,33.25
Bidirectional LSTM,tanh,rmsprop,100,No,0.7928,0.8144,2.06,33.26
Bidirectional LSTM,tanh,rmsprop,25,Yes,0.7176,0.711,2.1,33.0
Bidirectional LSTM,tanh,rmsprop,50,Yes,0.7653,0.7808,2.26,33.72
Bidirectional LSTM,tanh,rmsprop,100,Yes,0.8174,0.8208,2.23,34.12
